Municipality,Confirmed Opioid Related Death Count 2001-2005,"Annual Opioid-Related Death Rate per 100,000 People from 2001-2005",Confirmed Opioid Related Death Count 2006-2010,"Annual Opioid-Related Death Rate  per 100,000 People from 2006-2010",Confirmed Opioid Related Death Count 2011-2015,"Annual Opioid-Related Death Rate  per 100,000 People from 2011-2015"
Hull,3,5.4,7,12.6,11,21.4
Huntington,2,18.4,1,9.2,0,0
Ipswich,3,4.6,7,10.6,12,18.2
Kingston,3,5,5,8,5,7.9
Lakeville,0,0,2,3.8,3,5.7
Lancaster,2,5.5,2,5.5,5,12.4
Lanesborough,1,6.7,0,0,1,6.5
Lawrence,40,10.8,30,7.4,71,18.6
Lee,0,0,0,0,4,13.5
Leicester,3,5.7,6,11,6,10.9
Lenox,0,0,0,0,2,8
Leominster,19,9.2,16,7.6,31,15.2
Leverett,1,11.9,0,0,0,0
Lexington,9,5.9,4,2.6,9,5.7
Leyden,0,0,1,25.2,0,0
Lincoln,0,0,0,0,0,0
Littleton,0,0,3,6.9,0,0
Longmeadow,3,3.8,1,1.3,5,6.3
Lowell,56,10.6,71,13.4,151,28.4
Ludlow,6,5.6,7,6.5,10,9.5
Lunenburg,5,10.5,1,2,8,15.9
Lynn,98,21.9,89,19.4,145,32.1
Lynnfield,5,8.7,1,1.7,3,5.2
Malden,34,12.1,44,15.4,64,21.5
Manchester,2,7.6,0,0,0,0
Mansfield,15,13.3,5,4.4,12,10.4
Marblehead,3,2.9,4,4,6,6.1
Marion,2,7.7,0,0,2,8.2
Marlborough,13,7.1,14,7.5,26,13.5
Marshfield,5,4.1,16,12.8,20,15.9
Mashpee,8,12.1,7,9.9,19,27.1
Mattapoisett,2,6.3,0,0,2,6.6
Maynard,0,0,3,5.9,8,15.8
Medfield,2,3.3,3,4.9,1,1.7
Medford,37,13.4,39,14.4,56,19.9
Medway,5,8,7,11,2,3.1
Melrose,11,8.2,12,9.1,19,14.1
Mendon,1,3.7,2,6.9,3,10.3
Merrimac,0,0,2,6.3,3,9.5
Methuen,16,7.3,24,10.6,26,11
Middleborough,9,8.9,10,9.3,31,26.8
Middlefield,0,0,0,0,1,38.4
Middleton,1,2.5,5,11,6,13.4
Milford,11,8.2,10,7.2,15,10.7
Millbury,7,10.8,6,9,12,18.1
Millis,2,5.1,0,0,2,5.1
Millville,0,0,0,0,0,0
Milton,5,3.8,4,3,6,4.4
Monroe,0,0,0,0,0,0
Monson,3,7.1,2,4.6,3,7
Montague,4,9.4,4,9.5,2,4.7
Monterey,0,0,0,0,0,0
Montgomery,0,0,0,0,0,0
Mount Washington,0,0,0,0,0,0
Nahant,0,0,4,22.5,1,5.9
Nantucket,1,2.1,3,5.9,3,5.9
Natick,6,3.7,5,3.1,17,10.3
Needham,6,4.2,1,0.7,2,1.4
New Ashford,0,0,0,0,1,N/A
New Bedford,108,23,113,23.9,153,32.2
New Braintree,1,20.8,0,0,1,20
New Marlborough,0,0,0,0,1,13.3
New Salem,0,0,0,0,1,20.2
Newbury,2,5.9,3,8.7,4,12
Newburyport,7,8.1,3,3.4,12,13.8
Newton,12,2.9,18,4.3,24,5.6
Norfolk,0,0,2,3.8,3,5.3
North Adams,7,9.6,9,12.9,16,23.3
North Andover,5,3.7,7,5.1,11,7.8
North Attleborough,2,1.5,16,11.3,26,18.1
North Brookfield,0,0,2,8.4,3,12.8
North Reading,2,2.9,4,5.7,4,5.4
Northampton,7,4.8,16,11.1,26,18.2
Northborough,1,1.4,4,5.5,2,2.8
Northbridge,10,14.9,7,9.7,13,16.6
Northfield,0,0,0,0,2,13.2
Norton,8,8.8,9,9.4,15,15.8
Norwell,2,4,4,7.7,8,15.2
Norwood,13,9.1,15,10.5,16,11.2
Oak Bluffs,1,5.4,1,5.1,4,17.7
Oakham,0,0,2,21.1,0,0
Orange,2,5.3,4,10.4,10,25.5
Orleans,3,9.4,2,6.3,2,6.8
Otis,0,0,0,0,0,0
Oxford,7,10.4,4,5.8,17,24.8
Palmer,5,8,10,15.7,8,13.2
Paxton,2,9,0,0,5,20.8
Peabody,18,7.4,23,9,41,16
Pelham,0,0,1,14.3,0,0
Pembroke,4,4.7,8,8.9,16,17.9
Pepperell,4,7.1,3,5.3,13,22.6
Peru,0,0,0,0,0,0
Petersham,1,16.7,1,15.7,1,16.2
Phillipston,0,0,0,0,1,11.9
Pittsfield,9,4,9,4.1,59,26.4
Plainfield,0,0,0,0,0,0
Plainville,2,5.2,4,9.9,6,14.5
Plymouth,11,4.2,26,9.4,55,19.5
Plympton,1,7.5,0,0,1,7.1
Princeton,0,0,0,0,4,23.4
Provincetown,8,N/A,0,0,1,6.8
Quincy,67,15.1,70,15.4,151,32.7
Randolph,9,5.8,12,7.4,30,18.7
Raynham,5,8.3,2,3,11,16.4
Reading,13,11,7,6,10,8.1
Rehoboth,2,3.9,1,1.8,2,3.4
